D. Brown,RB,SD,10,0,0,393,2.5,101,0.5,710,0.2,1
J. Flacco,QB,Bal,11,3773,23.2,107,1.1,0,0,0,0,7.4
R. Tannehill,QB,Mia,5,4001,22.3,247,2.7,0,0,0,0,8.1
D. Wilson,RB,NYG,8,-,-,-,-,-,-,-,-,-
D. Allen,TE,Ind,10,-,-,-,-,-,-,-,-,-
C. Fleener,TE,Ind,10,0,0,0,0,448,4.4,0,0,0.5
B. Green-Ellis,RB,Cin,4,0,0,132,1.1,15.7,0,0,0,0.3
J. Starks,RB,GB,9,0,0,341,2.1,74.8,0.3,0,0,1
J. Matthews,WR,Eagles,7,0,0,0,0,586,5,0,0,0.6
M. Williams,WR,Buf,9,0,0,0,0,535,3,0,0,0.7
L. Taliaferro,RB,Bal,11,-,-,-,-,-,-,-,-,-
M. Austin,WR,Cle,4,0,0,0,0,631,2.9,0,0,0.6
J. White,RB,NE,10,0,0,447,4.3,76.9,0.3,0,0,1.5
A. Bradshaw,RB,Ind,10,0,0,453,4.3,152,0.6,0,0,1.8
G. Smith,QB,NYJ,11,-,-,-,-,-,-,-,-,-
E. Ebron,TE,Det,9,-,-,-,-,-,-,-,-,-
B. LaFell,WR,NE,10,0,0,0,0,491,2.6,0,0,0.6
M. Vick,QB,NYJ,11,101,0.5,29.3,0.2,0,0,0,0,0.3
T. Wright,TE,TB,7,0,0,0,0,320,1.7,0,0,0.2
T. Bridgewater,QB,Vikings,10,-,-,-,-,-,-,-,-,-
J. Blackmon,WR,Jac,11,-,-,-,-,-,-,-,-,-
O. Daniels,TE,Bal,11,0,0,0,0,218,1.5,0,0,0.2
J. Finley,TE,GB,9,0,0,0,0,0,0,0,0,0
S. Bradford,QB,StL,4,3694,19.3,92,1.3,0,0,0,0,6.8
D. Moore,WR,Oak,5,0,0,0,0,245,1.2,22.8,0,0.2
A. Gates,TE,SD,10,0,0,0,0,528,4.5,0,0,0.9
G. Graham,TE,Hou,10,0,0,0,0,569,3.8,0,0,0.6
R. Mendenhall,RB,Ari,4,-,-,-,-,-,-,-,-,-
B. Gibson,WR,Mia,5,0,0,0,0,561,4.1,0,0,0.5
M. Lewis,TE,Jac,11,0,0,0,0,557,3.9,0,0,0.7
J. Cook,TE,StL,4,0,0,0,0,619,3.2,0,0,0.8
